GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2403313-020,1020,721,10,96,606,21,11,0,711
2403313-005,4159,3442,539,152,2691,40,97,4,2903
2403313-013,2446,2008,52,80,1847,35,44,4,1956
2403313-012,4144,3343,75,134,3077,35,106,4,3268
2403306-010,4386,3514,123,266,3059,75,108,2,3391
2403318-007,3841,2863,62,356,2446,58,25,4,2801
2400902-008,4767,3582,2690,121,552,98,127,3,892
2400902-005,4083,3151,2571,105,269,81,97,3,580
2400902-002,4361,3289,2211,157,760,70,80,2,1078
2402115-002,4900,3939,3616,114,56,75,58,1,323
2402126-001,5111,3811,3056,265,273,83,129,5,755
2400111-000,1138,916,849,7,21,6,25,4,67
2400123-000,2734,2113,1784,58,194,51,27,1,329
2400106-001,1759,1428,1244,28,102,17,30,0,184
2400106-099,0,0,0,0,0,0,0,0,0
2400122-001,2348,1984,1669,44,198,46,34,1,315
2400122-002,119,100,95,1,0,0,0,0,5
2400104-002,1363,1008,867,16,84,28,2,1,141
2400104-005,1105,884,793,5,41,32,3,0,91
2400303-015,1933,1524,1379,35,26,28,31,3,145
2400304-004,2834,2192,1734,101,175,48,119,5,458
2400306-027,1484,1183,869,185,50,27,43,1,314
2400302-022,3740,3070,2412,179,328,86,61,2,658
2400302-008,3934,3135,2151,362,405,92,117,8,984
2400306-012,3330,2458,1387,225,752,42,76,3,1071
2402701-001,3725,2707,1589,137,490,40,456,12,1118
2402701-013,2121,1586,924,77,276,35,297,2,662
2400301-015,3157,2452,1591,224,467,53,121,10,861
2400301-016,3740,2798,1545,431,612,95,149,3,1253
2400301-013,2001,1459,864,199,330,55,48,2,595
2402701-015,9630,7260,1836,569,3021,103,1796,18,5424
2402701-021,4276,3108,1004,301,1078,69,730,7,2104
2402702-018,2847,2110,1506,79,146,19,338,2,604
2402706-030,2614,1885,481,388,728,50,302,0,1404
2402705-014,1146,934,588,83,161,21,95,5,346
2402702-004,3280,2370,879,143,675,25,659,7,1491
2400305-017,2865,2151,1881,89,76,41,69,10,270
2400301-001,2422,1966,1491,79,169,47,169,10,475
2403708-009,6432,4575,1668,607,1975,145,253,11,2907
2403708-011,4018,3024,1845,286,663,72,182,22,1179
2403708-006,1879,1483,1137,68,136,38,104,2,346
24037ZZZZZZ,0,0,0,0,0,0,0,0,0
2403701-002,2374,1897,1557,62,186,37,52,10,340
2403705-002,4042,3238,2599,85,411,95,46,6,639
2403706-003,4565,3449,2924,105,178,82,135,6,525
2403701-001,4021,3445,2675,158,424,81,119,12,770
2403703-002,3518,2590,1990,70,436,55,40,7,600
2403706-001,2116,1673,1470,29,105,38,25,0,203
2403709-001,265,209,176,3,19,3,7,0,33
2403708-002,2354,1830,1428,95,153,56,83,4,402
2403707-001,3300,2661,2196,33,346,53,23,5,465
2403702-001,3182,2469,2007,93,227,64,71,6,462
2403704-003,3553,2762,2227,51,382,48,32,5,535
2403708-001,5279,4006,1873,418,1417,111,253,4,2133
2403702-002,1957,1589,1315,58,115,14,64,12,274
2403703-004,2276,1834,1582,51,33,20,121,3,252
2402702-006,2883,2058,1008,84,233,23,707,7,1050
2402702-012,4040,3108,2074,142,226,42,637,2,1034
2402706-027,3300,2415,805,176,939,50,495,6,1610
2402702-010,2010,1447,751,23,71,11,567,2,696
2402706-001,3516,2737,1206,420,797,64,270,4,1531
2402701-006,4768,3485,1390,996,473,105,592,1,2095
2400129-002,1968,1609,1495,12,26,29,44,1,114
2400106-003,929,750,652,13,57,21,8,0,98
2400114-000,762,668,548,22,70,21,15,0,120
2400126-000,3909,3345,2454,77,594,37,140,3,891
2400118-000,2054,1623,1538,19,10,41,10,1,85
2402311-001,125,108,107,1,0,0,0,0,1
2400307-027,4121,3133,2490,188,272,34,143,1,643
2400303-022,2236,1810,1390,49,267,34,62,3,420
2400303-020,2254,1828,1610,54,50,32,75,1,218
2400307-023,3711,2864,2468,130,111,36,101,3,396
2400303-017,2602,2081,1881,52,52,43,36,4,200
2400302-013,2480,1948,1395,105,326,46,81,10,553
2400102-000,996,844,810,2,8,16,3,0,34
2400104-004,1887,1564,1413,22,85,19,11,2,151
2402703-005,6756,5050,2602,95,385,33,1950,4,2448
2402706-029,5871,4710,2133,251,1230,85,1057,9,2577
2402706-012,1062,832,451,96,228,35,57,3,381
2402705-016,2856,2382,1131,174,767,38,291,4,1251
2402706-033,2888,2244,958,274,727,68,228,1,1286
2402706-026,3396,2614,1416,144,780,24,249,0,1198
2400301-022,9724,7913,2921,747,2548,139,1721,21,4992
2400301-025,2036,1599,939,185,289,45,145,1,660
2400301-006,3728,3063,1167,280,1155,96,397,7,1896
2400307-017,1902,1439,1036,81,213,23,88,2,403
2400307-015,2853,2124,1705,103,168,23,124,5,419
2400307-026,2832,2075,1629,129,116,31,160,10,446
2400307-018,3133,2235,1570,110,313,33,205,4,665
2400306-004,1347,1104,482,230,332,13,57,0,622
2400306-001,3031,2612,2160,180,160,46,63,7,452
2400306-013,2202,1544,579,412,499,31,46,0,965
2400306-015,3353,2511,1019,929,427,80,112,2,1492
2400103-000,1042,843,807,0,10,16,4,1,36
2402703-004,352,252,161,5,8,3,74,0,91
2402703-006,2618,1965,1359,73,164,25,322,1,606
2402701-007,1606,1206,574,78,211,25,317,1,632
