GEOID,TOT,REP,DEM,OTH
37023000031,8430,2926,5258,246
37023000021,6279,4235,1861,183
37023000024,11340,7708,3356,276
3701700P501,12553,5258,7115,180
3702700PR33,26184,19990,5482,712
3702700PR25,7941,6225,1507,209
37171000029,14399,10385,3664,350
37171000009,6410,4978,1282,150
37017000P15,12064,8509,3369,186
3713300RL09,24131,16795,6619,717
37093000013,5476,3347,1972,157
37155000010,3930,2081,1769,80
37155000021,8466,4577,3720,169
370510G9B-1,18061,8893,8721,447
37155000008,6986,5187,1728,71
37155000009,5237,2845,2302,90
37037000009,6985,4805,2034,146
3714701508A,6786,3450,3111,225
3714701508B,7406,2729,4346,331
37119000137,30237,15422,14132,683
37069000015,14358,4770,9295,293
37069000003,16517,8197,7942,378
37069000008,13653,7609,5697,347
37069000005,10715,6591,3876,248
37069000016,8966,3494,5308,164
3700300000E,11270,8429,2549,292
371510000AW,24330,14671,8957,702
371510000SO,16315,13311,2695,309
371510000DR,19551,15331,3763,457
371510000GR,16817,12997,3432,388
371510000PR,25900,21137,4172,591
371510000AE,18369,9307,8568,494
371570000DR,8980,5335,3415,230
37161000027,15426,9872,5196,358
3702700PR32,11975,9090,2608,277
37193000109,3578,2595,923,60
3702700PR21,13253,10491,2401,361
37023000066,8596,5917,2450,229
3702700PR22,14441,11486,2623,332
37111DYSART,10033,7492,2279,262
3700300000W,8185,6464,1525,196
37093000064,8395,3547,4612,236
3702700PR34,21914,15994,5359,561
3701300RVRD,9548,5916,3441,191
371570000MS,33494,14885,17864,745
3716100009A,15004,12197,2536,271
3714900GC09,11900,7825,3848,227
37037000075,23409,10477,12584,348
37037000024,3715,3217,436,62
37009000006,2249,1646,556,47
37023000040,7616,4862,2528,226
37023000022,8292,6128,1975,189
37069000018,14209,8442,5298,469
37069000011,7386,2975,4283,128
37069000001,8274,2544,5547,183
3710100PR37,18454,13135,4945,374
3710100PR07,12940,9670,2991,279
37191000003,14573,10971,3280,322
3710100PR25,10498,4874,5391,233
3710100PR26,9880,3651,6026,203
370130AUROR,4939,2127,2721,91
370130WASH4,9597,5000,4385,212
371170000R2,5544,1865,3600,79
371170000BG,7340,5536,1651,153
3701300TCRK,10948,7576,3077,295
3701300OLDF,6799,3675,2973,151
370130EDWAR,4202,2382,1725,95
370130BELHV,6962,3658,3159,145
371170000CR,4639,2587,1988,64
37147000401,6854,2656,4090,108
3714701504A,10746,1373,9151,222
3714701504B,19760,4631,14634,495
3714701505B,10936,814,9931,191
37171000030,20946,13564,6887,495
37171000005,10905,9172,1567,166
3713300FS16,18292,13555,4159,578
3713300HR17,11430,7772,3211,447
3713300MT24,7942,6052,1623,267
3714100SC13,17656,11586,5619,451
3714100UH08,3751,948,2759,44
3714100SP15,17935,11825,5558,552
3719500PROL,18087,12781,5005,301
3712700P01A,13507,8486,4762,259
3719500PRWE,5951,1607,4258,86
3719500PRWM,19564,8853,10314,397
3719500PRGA,10536,5349,5029,158
371010PR31A,14460,8953,5052,455
371010PR10A,14154,5636,8120,398
371010PR29A,29069,17741,10394,934
371010PR11B,23558,11850,11045,663
371010PR10B,11407,6836,4282,289
371010PR27A,7986,3736,4089,161
3710100PR30,18155,9798,7896,461
3703300LEAS,3078,1580,1434,64
37119000146,18597,2262,15854,481
37119000225,11307,5027,5930,350
37119000151,23215,4801,17817,597
37119000065,7506,3048,4267,191
37099000SCC,7568,4478,2880,210
37047000P07,12792,6264,6318,210
37113000013,2599,2080,460,59
37093000002,7055,2940,3928,187
3715500026A,12535,3833,8490,212
371070000K2,3467,142,3259,66
371570000EC,17792,10348,7056,388
371570000WS,28577,18316,9483,778
371510000LC,10566,8274,2078,214
371510000UG,33048,25594,6697,757
371570000RC,22461,15745,6310,406
37115MARS-H,17103,9413,7229,461
371150NORTH,10389,6005,4120,264
37019000005,17936,11592,5759,585
37019000001,7642,4206,3245,191
370830000SN,11310,2683,8541,86
37099000BCK,5959,3862,1949,148
37119000135,32175,3836,27564,775
37119000014,14400,2009,11968,423
37119000098,9830,1399,8191,240
37019000015,31334,20737,10024,573
37183016-06,7083,2212,4631,240
37183017-13,26890,8727,17433,730
37183017-12,16505,4274,11773,458
37183017-04,33423,10576,22050,797
37183004-11,8106,2230,5619,257
3704900N3N5,15839,6472,8920,447
37155000041,12179,9062,2954,163
37155000014,3846,1902,1866,78
37183001-11,13291,6828,6286,177
37183004-20,16328,5122,10644,562
37183010-04,40446,15683,23797,966
37183020-15,21741,6151,15056,534
37183020-16,19908,5753,13640,515
37183020-17,22595,8011,14025,559
37183001-20,13405,1473,11643,289
37183019-13,11581,4381,6875,325
370150000M2,3171,1170,1953,48
371510000AR,36785,27607,8333,845
3712700P07A,4094,2770,1237,87
37083000HAL,6104,1477,4581,46
37071000014,5510,3241,2114,155
37071000039,16404,13762,2254,388
37057000028,12080,8349,3442,289
37103000P05,6870,2903,3849,118
37103000P01,3145,1892,1197,56
3705500STPT,683,551,112,20
371390NORTH,8741,3145,5370,226
37057000046,12181,9300,2641,240
37057000082,12981,10097,2556,328
37123000MTG,7632,2509,4985,138
3708100MON1,12481,3595,8630,256
37081000G06,6635,270,6244,121
3713900EAST,12424,4964,7134,326
37183001-45,9163,3356,5471,336
37183001-40,19739,1321,18074,344
37071000023,16663,9844,6378,441
37023000011,12453,9993,2142,318
370030000B1,13944,10494,3093,357
3719700BNVL,13241,10008,2945,288
3719700SKNB,5716,4878,736,102
3702700PR01,14909,10351,4188,370
3702700PR18,18809,12575,5744,490
37057000012,3702,2884,700,118
370510G9B-2,19362,9559,9345,458
37051000G9A,12149,5708,6122,319
370510G3A-1,15434,4469,10579,386
3705100CC12,8138,5471,2492,175
3705100CC14,11954,6539,5085,330
3705100CC07,4737,2517,2054,166
3706100ALBE,5540,4148,1304,88
37019000014,21118,14631,6023,464
37019000013,15056,9592,5005,459
3701900010A,19344,12402,6546,396
3701900010B,29965,17770,11836,359
37057000088,11843,8356,3250,237
37081000H15,8860,3662,4946,252
37057000018,9389,7549,1645,195
37057000072,13469,10639,2560,270
37057000060,18930,11800,6692,438
37081000H22,5961,2427,3360,174
37081NCLAY2,7320,5162,2015,143
3708100JEF1,14600,7090,7232,278
370810NWASH,6064,4832,1128,104
37081000G35,6424,2429,3876,119
37167000026,7756,5985,1586,185
37081000G52,7829,803,6871,155
37001000127,16751,4353,12093,305
3700100012N,13079,1947,10850,282
37001000013,15005,6839,7878,288
3700100006E,9999,4515,5243,241
37001000063,10237,3215,6836,186
3700100010N,16808,9600,6831,377
3719903-EGY,2343,1468,818,57
37183010-03,13814,5773,7661,380
37183004-05,19510,6644,12341,525
37183011-01,28056,8917,18270,869
37071000021,9665,5918,3527,220
37003T1T4T5,17526,12925,4162,439
37183017-11,22346,5158,16642,546
37183001-50,14468,910,13293,265
37183010-02,19759,8622,10591,546
37183008-02,21611,7909,13106,596
37183020-08,25510,10456,14261,793
37183001-15,11527,4603,6653,271
37183001-49,15658,3483,11560,615
3705100CC33,10087,3371,6463,253
3705100CC01,9088,1083,7816,189
37125000PBF,10685,5878,4522,285
37125000LTR,13044,8702,4015,327
37125000PHC,20419,11940,8060,419
37125000EAB,12292,6528,5380,384
37125000PDN,15854,8682,6666,506
37093000004,4338,2385,1866,87
37169000017,8152,5742,2198,212
37169000015,6450,4921,1396,133
37169000007,3133,2250,807,76
371510000BC,14403,11916,2182,305
371510000AS,18071,12751,4940,380
371510000LB,12180,7554,4339,287
37001000001,16266,12671,3238,357
370130000HB,3833,3234,523,76
37081000H04,10605,3742,6637,226
3708100JAM5,6849,4960,1725,164
37169000004,9421,7432,1718,271
